Year,Period,labor force,employment,unemployment,unemployment rate
2017,Sep,4888554(T),4664073(T),224481(T),4.6(T)
2017,Oct,4887448(T),4665326(T),222122(T),4.5(T)
2017,Nov,4898996(T),4682500(T),216496(T),4.4(T)
2017,Dec,4870066(T),4653662(T),216404(T),4.4(T)
2018,Jan,4831532(T),4584109(T),247423(T),5.1(T)
2018,Feb,4884425(T),4644295(T),240130(T),4.9(T)
2018,Mar,4872308(T),4661700(T),210608(T),4.3(T)
2018,Apr,4829400(T),4648424(T),180976(T),3.7(T)
2018,May,4836304(T),4662846(T),173458(T),3.6(T)
2018,Jun,4939738(T),4715651(T),224087(T),4.5(T)
2018,Jul,4953432(T),4740711(T),212721(T),4.3(T)
2018,Aug,4877813(T),4677352(T),200461(T),4.1(T)
2018,Sep,4838769(T),4658777(T),179992(T),3.7(T)
2018,Oct,4877737(T),4688248(T),189489(T),3.9(T)
2018,Nov,4876813(T),4702566(T),174247(T),3.6(T)
2018,Dec,4861471(T),4666160(T),195311(T),4.0(T)
2019,Jan,4862637(T),4614217(T),248420(T),5.1(T)
2019,Feb,4872160(T),4645221(T),226939(T),4.7(T)
2019,Mar,4883507(T),4666202(T),217305(T),4.4(T)
2019,Apr,4846083(T),4656633(T),189450(T),3.9(T)
2019,May,4818041(T),4649913(T),168128(T),3.5(T)
2019,Jun,4925570(T),4721824(T),203746(T),4.1(T)
2019,Jul,4924209(T),4721148(T),203061(T),4.1(T)
2019,Aug,4881057(T),4695711(T),185346(T),3.8(T)
2019,Sep,4824968(T),4661732(T),163236(T),3.4(T)
2019,Oct,4837505(T),4673429(T),164076(T),3.4(T)
2019,Nov,4828470(T),4675782(T),152688(T),3.2(T)
2019,Dec,4811764(T),4655748(T),156016(T),3.2(T)
2020,Jan,4783174(T),4595114(T),188060(T),3.9(T)
2020,Feb,4817627(T),4634148(T),183479(T),3.8(T)
2020,Mar,4784802(T),4588248(T),196554(T),4.1(T)
2020,Apr,4521950(T),3774160(T),747790(T),16.5(T)
2020,May,4646938(T),3923282(T),723656(T),15.6(T)
2020,Jun,4859950(T),4127900(T),732050(T),15.1(T)
2020,Jul,4710335(T),4105781(T),604554(T),12.8(T)
2020,Aug,4701973(T),4137526(T),564447(T),12.0(T)
2020,Sep,4798356(T),4263564(T),534792(T),11.1(T)
2020,Oct,4690619(T),4305845(T),384774(T),8.2(T)
2020,Nov,4667374(T),4282859(T),384515(T),8.2(T)
2020,Dec,4615934(T),4235802(T),380132(T),8.2(T)
2021,Jan,4608048,4208154,399894,8.7
2021,Feb,4629300,4246421,382879,8.3
2021,Mar,4637599(P),4291975(P),345624(P),7.5(P)
"T : Data were subject to revision on April 16, 2021.",,,,,
P : Preliminary.,,,,,
